Date;Retraites_4000;Retraites_5000;Menage_4000;Menage_5000;Menage_7000;Mr_Wagner;Pascal_P;Laurent D;Spedener C;Claude Eyschen T
01/01/2026 00:00;200;200;200;200;200;4016,129032;270;339;1457;591.3978494623655
01/01/2026 01:00;200;200;200;200;200;4016,129032;270;306;1845;591.3978494623655
01/01/2026 02:00;200;200;200;200;200;4016,129032;240;386;1383;591.3978494623655
01/01/2026 03:00;200;200;200;200;200;4016,129032;280;309;670;591.3978494623655
01/01/2026 04:00;200;200;200;200;200;4016,129032;250;427;899;591.3978494623655
01/01/2026 05:00;200;200;200;200;200;4016,129032;680;308;635;591.3978494623655
01/01/2026 06:00;200;200;200;200;200;6024,193548;370;237;641;887.0967741935482
01/01/2026 07:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;260;290;1226;887.0967741935482
01/01/2026 08:00;686,6359447;894,0092166;200;200;200;6024,193548;470;262;836;887.0967741935482
01/01/2026 09:00;686,6359447;894,0092166;200;200;200;6024,193548;260;218;907;887.0967741935482
01/01/2026 10:00;686,6359447;894,0092166;200;200;200;6024,193548;200;2325;850;354.8387096774193
01/01/2026 11:00;686,6359447;894,0092166;200;200;200;6024,193548;280;2069;4663;354.8387096774193
01/01/2026 12:00;686,6359447;894,0092166;200;200;200;6024,193548;220;410;1059;354.8387096774193
01/01/2026 13:00;686,6359447;894,0092166;200;200;200;6024,193548;270;397;2142;354.8387096774193
01/01/2026 14:00;686,6359447;894,0092166;200;200;200;6024,193548;250;124;1073;709.6774193548385
01/01/2026 15:00;686,6359447;894,0092166;200;200;200;6024,193548;220;271;926;709.6774193548385
01/01/2026 16:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;200;489;912;709.6774193548385
01/01/2026 17:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;170;2304;966;709.6774193548385
01/01/2026 18:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;260;1408;1892;473.11827956989237
01/01/2026 19:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;270;1351;1068;473.11827956989237
01/01/2026 20:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;280;526;1014;473.11827956989237
01/01/2026 21:00;200;200;200;200;200;4016,129032;330;512;871;473.11827956989237
01/01/2026 22:00;200;200;200;200;200;4016,129032;270;546;4322;473.11827956989237
01/01/2026 23:00;200;200;200;200;200;4016,129032;280;523;4018;473.11827956989237
02/01/2026 00:00;200;200;200;200;200;4016,129032;250;961;694;591.3978494623655
02/01/2026 01:00;200;200;200;200;200;4016,129032;240;500;690;591.3978494623655
02/01/2026 02:00;200;200;200;200;200;4016,129032;260;409;655;591.3978494623655
02/01/2026 03:00;200;200;200;200;200;4016,129032;220;318;641;591.3978494623655
02/01/2026 04:00;200;200;200;200;200;4016,129032;260;322;650;591.3978494623655
02/01/2026 05:00;200;200;200;200;200;4016,129032;240;262;842;591.3978494623655
02/01/2026 06:00;200;200;200;200;200;6024,193548;530;302;1906;887.0967741935482
02/01/2026 07:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;430;275;782;887.0967741935482
02/01/2026 08:00;686,6359447;894,0092166;200;200;200;6024,193548;260;384;793;887.0967741935482
02/01/2026 09:00;686,6359447;894,0092166;200;200;200;6024,193548;330;499;938;887.0967741935482
02/01/2026 10:00;686,6359447;894,0092166;200;200;200;6024,193548;480;4349;1732;354.8387096774193
02/01/2026 11:00;686,6359447;894,0092166;200;200;200;6024,193548;300;2989;1839;354.8387096774193
02/01/2026 12:00;686,6359447;894,0092166;200;200;200;6024,193548;650;1932;901;354.8387096774193
02/01/2026 13:00;686,6359447;894,0092166;200;200;200;6024,193548;490;1082;2071;354.8387096774193
02/01/2026 14:00;686,6359447;894,0092166;200;200;200;6024,193548;510;1124;948;709.6774193548385
02/01/2026 15:00;686,6359447;894,0092166;200;200;200;6024,193548;2250;2961;843;709.6774193548385
02/01/2026 16:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;800;3594;953;709.6774193548385
02/01/2026 17:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;260;3578;952;709.6774193548385
02/01/2026 18:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;240;2079;1798;473.11827956989237
02/01/2026 19:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;290;2924;925;473.11827956989237
02/01/2026 20:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;280;2273;972;473.11827956989237
02/01/2026 21:00;200;200;200;200;200;4016,129032;320;1120;971;473.11827956989237
02/01/2026 22:00;200;200;200;200;200;4016,129032;310;605;689;473.11827956989237
02/01/2026 23:00;200;200;200;200;200;4016,129032;260;581;679;473.11827956989237
03/01/2026 00:00;200;200;200;200;200;4016,129032;290;438;655;591.3978494623655
03/01/2026 01:00;200;200;200;200;200;4016,129032;260;347;628;591.3978494623655
03/01/2026 02:00;200;200;200;200;200;4016,129032;260;258;623;591.3978494623655
03/01/2026 03:00;200;200;200;200;200;4016,129032;280;455;609;591.3978494623655
03/01/2026 04:00;200;200;200;200;200;4016,129032;240;465;600;591.3978494623655
03/01/2026 05:00;200;200;200;200;200;4016,129032;640;421;866;591.3978494623655
03/01/2026 06:00;200;200;200;200;200;6024,193548;370;494;1629;887.0967741935482
03/01/2026 07:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;330;540;789;887.0967741935482
03/01/2026 08:00;686,6359447;894,0092166;200;200;200;6024,193548;340;663;774;887.0967741935482
03/01/2026 09:00;686,6359447;894,0092166;200;200;200;6024,193548;470;1817;737;887.0967741935482
03/01/2026 10:00;686,6359447;894,0092166;200;200;200;6024,193548;210;2612;1685;354.8387096774193
03/01/2026 11:00;686,6359447;894,0092166;200;200;200;6024,193548;190;2980;969;354.8387096774193
03/01/2026 12:00;686,6359447;894,0092166;200;200;200;6024,193548;180;413;1712;354.8387096774193
03/01/2026 13:00;686,6359447;894,0092166;200;200;200;6024,193548;200;209;886;354.8387096774193
03/01/2026 14:00;686,6359447;894,0092166;200;200;200;6024,193548;180;291;1233;709.6774193548385
03/01/2026 15:00;686,6359447;894,0092166;200;200;200;6024,193548;220;499;1604;709.6774193548385
03/01/2026 16:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;210;560;926;709.6774193548385
03/01/2026 17:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;180;2318;1133;709.6774193548385
03/01/2026 18:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;200;767;1823;473.11827956989237
03/01/2026 19:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;190;485;1107;473.11827956989237
03/01/2026 20:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;220;1302;921;473.11827956989237
03/01/2026 21:00;200;200;200;200;200;4016,129032;240;2752;1011;473.11827956989237
03/01/2026 22:00;200;200;200;200;200;4016,129032;220;2527;603;473.11827956989237
03/01/2026 23:00;200;200;200;200;200;4016,129032;210;464;561;473.11827956989237
04/01/2026 00:00;200;200;200;200;200;4016,129032;190;402;570;591.3978494623655
04/01/2026 01:00;200;200;200;200;200;4016,129032;260;347;585;591.3978494623655
04/01/2026 02:00;200;200;200;200;200;4016,129032;270;507;581;591.3978494623655
04/01/2026 03:00;200;200;200;200;200;4016,129032;230;496;571;591.3978494623655
04/01/2026 04:00;200;200;200;200;200;4016,129032;260;477;623;591.3978494623655
04/01/2026 05:00;200;200;200;200;200;4016,129032;220;483;675;591.3978494623655
04/01/2026 06:00;200;200;200;200;200;6024,193548;190;551;1499;887.0967741935482
04/01/2026 07:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;200;580;716;887.0967741935482
04/01/2026 08:00;686,6359447;894,0092166;200;200;200;6024,193548;250;646;716;887.0967741935482
04/01/2026 09:00;686,6359447;894,0092166;200;200;200;6024,193548;210;489;703;887.0967741935482
04/01/2026 10:00;686,6359447;894,0092166;200;200;200;6024,193548;200;2477;794;354.8387096774193
04/01/2026 11:00;686,6359447;894,0092166;200;200;200;6024,193548;170;3457;903;354.8387096774193
04/01/2026 12:00;686,6359447;894,0092166;200;200;200;6024,193548;400;445;1827;354.8387096774193
04/01/2026 13:00;686,6359447;894,0092166;200;200;200;6024,193548;210;780;763;354.8387096774193
04/01/2026 14:00;686,6359447;894,0092166;200;200;200;6024,193548;890;65;1036;709.6774193548385
04/01/2026 15:00;686,6359447;894,0092166;200;200;200;6024,193548;340;815;1875;709.6774193548385
04/01/2026 16:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;1070;920;878;709.6774193548385
04/01/2026 17:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;6024,193548;440;2301;963;709.6774193548385
04/01/2026 18:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;450;1011;978;473.11827956989237
04/01/2026 19:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;2310;847;1881;473.11827956989237
04/01/2026 20:00;686,6359447;894,0092166;1335,483871;1819,354839;2787,096774;4016,129032;1230;654;1138;473.11827956989237
04/01/2026 21:00;200;200;200;200;200;4016,129032;650;655;3708;473.11827956989237
